training iterations,perplexity,perplexity POS
500,867.71240234375,1.425621509552002
1000,352.4114074707031,1.3355594873428345
1500,234.10853576660156,1.2985444068908691
2000,189.1493682861328,1.262081265449524
2500,157.72442626953125,1.2518093585968018
3000,145.93646240234375,1.2360676527023315
3500,139.45135498046875,1.2467973232269287
4000,131.9874725341797,1.2321743965148926
4500,122.09383392333984,1.2266708612442017
5000,122.89197540283203,1.2262771129608154
5500,119.1227035522461,1.222161889076233
6000,119.6921615600586,1.2322787046432495
6500,112.45501708984375,1.206894874572754
7000,114.7660140991211,1.210857629776001
7500,109.53199005126953,1.2242841720581055
8000,101.09931182861328,1.2174326181411743
8500,102.78231811523438,1.217822790145874
9000,99.90289306640625,1.2043975591659546
9500,102.80828094482422,1.1999176740646362
10000,100.0331039428711,1.2037076950073242
10500,97.20943450927734,1.2098580598831177
11000,97.03205108642578,1.2142021656036377
